keys,en,ru
UI_SKILL_TREE_TITLE,Skill Tree,Древо Талантов
UI_SKILL_LEARNED,Learned,Изучено
UI_NOT_ENOUGH_SOULS,Not enough souls!,Недостаточно душ!
UI_NOT_ENOUGH_GOLD,Not enough gold! Need: %d,Недостаточно золота! Нужно: %d
UI_NOT_ENOUGH_GOLD_SHORT,Not enough gold!,Недостаточно золота!
UI_UPGRADES_COUNT,Upgrades: %d/%d,Улучшения: %d/%d
UI_HP_FORMAT,HP: %d / %d,HP: %d / %d
UI_TIER_FORMAT,%s [Tier %d],%s [Тир %d]
UI_BUILD_MENU_TITLE,BUILD,СТРОЙ
UI_UNKNOWN,???,???
UI_COMBAT_LABEL,FIGHT,БОЙ
UI_TIMER_INFINITY,∞,∞
UI_KEY_RESERVED,This key is reserved,Эта клавиша зарезервирована
UI_ARROW_SKILL_TREE,▲  Skill Tree,▲  Древо талантов
MENU_NEW_GAME,New Game,Новая игра
MENU_CONTINUE,Continue,Продолжить
MENU_SETTINGS,Settings,Настройки
MENU_QUIT,Quit,Выход
MENU_MAIN_MENU,Main Menu,Главное меню
MENU_PLAY,Play,Играть
MENU_COMPLETED,Completed,Пройдено
MENU_COMING_SOON,Coming Soon,Скоро
MENU_SLOT_EMPTY,Slot %d — Empty,Слот %d — Пусто
MENU_SLOT_PROGRESS,Slot %d — %d%%,Слот %d — %d%%
MENU_RESTART,Restart,Заново
MENU_RESUME,Resume,Возобновить
MENU_CLICK_TO_START,Click to start,Нажмите чтобы начать
VICTORY_TITLE,VICTORY,ПОБЕДА
VICTORY_DESCRIPTION,"You've completed the Lineage of Light demo!\n\nThank you for playing. Your support and feedback\nare very important for the project.","Вы прошли демоверсию игры Lineage of Light!\n\nСпасибо, что играли. Ваша поддержка и обратная связь\nочень важны для развития проекта."
VICTORY_CONTACT,"Ideas, support, collaboration:\nTelegram: @cawanik","Идеи, поддержка, сотрудничество:\nTelegram: @cawanik"
VICTORY_THANKS,Thanks for playing!,Спасибо за игру!
GAME_OVER_TITLE,DEFEAT,ПОРАЖЕНИЕ
CHAR_OWNER,Dark Lord,Владыка
CHAR_BOOK,Book,Книга
CHAR_PLAYER,You,Вы
CHAR_KNIGHT,Knight,Рыцарь
HINT_CLICK_DIALOGUE,Click on dialogue to continue,Нажмите на диалоговое окно для продолжения
HINT_WASD,Use WASD to move,Используйте WASD для перемещения
